UTM_E,UTM_N,DistBouldEdge,DistMussEdge,Area10m,Perim10m,PerAreaRatio10m,RatioLog,Treatment,Black.goby,Brittlestar,Crab,Green.crab,Hermit.crab,Isopod,Large.shrimp,Lesser.pipefish,Mysid,Other.shrimp,Rock.gunnel,Sand.goby,Seastar,Shortfin.sculpin,Smooth.flatfish,Spider.crab,Spinach.spinach,Straightnosed.pipefish,Three.spined.stickleback,Tiger,Urchin,Herb.snail.ab,Whelk.ab
542811.7758,6171446.533,58.11806726,178.3347941,5.854003906,13.5601304,2.316385609,1.198875518,Bare,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,1,26
542779.2432,6171415.786,102.0873865,207.477175,0.848632813,7.860958598,9.263085851,2.32855356,Bare,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,9
542842.762,6171435.792,40.58542765,195.4864077,55.09960938,108.0033475,1.960147245,1.085239012,Bare,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2
542830.9069,6171361.517,96.97015197,229.2294333,46.15014648,133.177916,2.885752835,1.357316745,Bare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
542860.5128,6171286.236,125.885092,192.0971268,0,0,1,0.693147181,Bare,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,5
542678.3303,6171629.557,148.6316711,80.58627267,62.6418457,124.1031136,1.981153528,1.092310316,Bare,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,1,8
542665.0622,6171535.611,142.5117779,135.7267235,55.864,113.888,2.03866533,1.111418383,Bare,0,0,0,0,0,0,0,0,2,9,0,0,0,0,3,0,0,0,0,0,0,2,14
542622.0812,6171493.498,201.4383213,209.6607534,0.166259766,3.6784686,22.12482729,3.140906815,Bare,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,4
542814.8,6171343.114,121.2884837,240.92369,155.8312988,155.2260406,0.996115939,0.691203262,Natural,0,0,0,3,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
542857.6496,6171418.786,38.99631422,216.2430681,149.1333008,420.245393,2.817917868,1.339705213,Natural,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2
542702.6608,6171412.404,168.9804474,226.9265145,144.8388672,131.03605,0.904702257,0.644325701,Natural,0,0,0,3,0,2,12,0,0,0,0,0,0,0,0,0,0,0,1,2,0,16,1
542814.7996,6171465.282,45.46457142,160.2895049,119.1606445,155.5769501,1.30560682,0.835343904,Natural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6
542770.1268,6171502.661,62.07210688,121.6208566,128.9057617,193.4058673,1.500366351,0.916437262,Natural,0,0,0,2,0,0,6,3,0,0,0,0,0,0,0,0,0,1,0,1,0,7,0
542674.3982,6171546.423,142.5117779,135.7267235,227.161377,186.4789449,0.820909555,0.599336132,Natural,0,0,0,2,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
542593.257,6171477.134,233.6302569,242.3791588,232.5595703,157.8785968,0.678873789,0.518123205,Natural,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,12,0
542646.264,6171641.763,182.9184595,97.9356976,233.2351074,116.5907057,0.499884889,0.405388364,4-years-old,0,0,0,0,0,2,4,0,0,2,0,0,2,0,0,0,0,1,0,0,0,22,1
542656.8479,6171630.837,169.506678,96.52980374,271.8344727,88.69805321,0.326294352,0.282388852,4-years-old,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,5
542667.0912,6171619.912,156.7557939,95.38879122,226.7314453,172.2330055,0.7596344,0.56510606,4-years-old,0,0,0,5,1,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0
542636.0211,6171631.179,189.6495382,112.5501883,285.7890625,128.0297002,0.447986704,0.370174112,4-years-old,0,0,1,1,0,0,7,0,0,5,0,0,0,0,0,0,0,0,0,0,0,17,2
542645.9223,6171620.254,177.4575713,111.675862,303.3220215,86.65735981,0.285694258,0.251298851,4-years-old,0,0,0,1,0,0,4,0,0,5,0,0,1,0,0,0,0,0,0,0,0,12,6
542656.1654,6171609.669,165.3992799,110.3216765,297.6791992,96.71731406,0.324904509,0.281340388,4-years-old,1,0,0,1,0,0,2,1,0,5,0,0,0,0,0,0,0,0,0,0,0,21,10
542624.4123,6171621.278,198.7254049,127.8014137,264.2966309,136.969977,0.518243371,0.41755399,4-years-old,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,21,3
542634.9966,6171609.669,186.3131267,126.8226329,272.1289063,139.4235973,0.512343945,0.413660729,4-years-old,0,0,0,2,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,20,1
542645.9223,6171599.426,174.220571,124.7223421,219.0161133,149.8607535,0.684245334,0.52131759,4-years-old,0,0,0,0,0,1,1,1,0,4,0,1,0,0,1,0,0,0,0,0,0,8,2
542874.294,6171402.423,37.34784429,204.5872518,92.33129883,205.5143545,2.225836278,1.171192228,2-years-old,0,0,0,2,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,13,14
542894.56,6171380.518,39.95574774,176.3626462,124.3776855,152.3499315,1.224897624,0.799710903,2-years-old,0,0,0,3,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6,4
542915.6499,6171359.061,35.94898842,148.1856415,28.40795898,86.85259823,3.057333273,1.400525928,2-years-old,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,7,6
542936.8183,6171336.868,37.44219199,120.6369978,16.74438477,32.30272434,1.929167586,1.074718282,2-years-old,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
542956.9625,6171315.017,34.27866133,96.08296702,47.95483398,66.87731084,1.39458956,0.873211842,2-years-old,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,7
542977.7899,6171293.848,36.50158257,74.59767454,11.45556641,26.55840664,2.318384416,1.199478043,Bare,0,0,0,1,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,15
542998.6166,6171271.997,32.0868024,60.83419827,54.7265625,64.62734989,1.180913745,0.779743938,2-years-old,0,0,0,1,0,0,2,3,0,0,0,0,1,0,0,0,0,1,0,0,0,24,9
542852.1443,6171381.596,67.74633246,215.4852846,9.958251953,48.2123095,4.841443029,1.76497786,2-years-old,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,23,2
542872.9717,6171359.061,68.79244266,188.2062982,22.59814453,63.78892519,2.822750563,1.340970206,2-years-old,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
542894.4813,6171337.893,65.85137058,161.789318,7.64453125,27.788739,3.635113533,1.533660693,2-years-old,0,0,0,0,0,0,4,3,0,1,0,1,0,1,0,0,0,0,0,0,0,13,1
542914.6256,6171316.383,66.20387704,138.2542203,7.723388672,30.45924453,3.943766891,1.598127569,Bare,0,0,0,2,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,5,9
542935.453,6171294.872,63.73789519,116.7470671,0,0,1,0.693147181,Bare,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,13,1
542955.5967,6171273.021,65.06266762,100.4435885,20.57324219,60.1838996,2.925348326,1.367455093,2-years-old,0,0,0,0,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,26,1
542976.4238,6171251.512,62.2888248,90.42450544,5.649658203,16.42269159,2.906846928,1.362730636,2-years-old,0,0,0,4,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,20,0
542841.2185,6171350.526,96.97813476,216.5295419,95.24707031,184.4466146,1.93650696,1.077220766,2-years-old,0,0,0,1,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,11,5
542861.7044,6171328.333,96.42819011,192.2662789,55.66772461,131.0731937,2.354563522,1.210321664,2-years-old,0,0,0,0,0,0,4,2,0,2,0,0,0,0,0,0,0,1,0,0,0,1,1
542882.5316,6171306.481,95.98883833,169.5869187,0,0,1,0.693147181,Bare,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
542903.3587,6171285.313,93.8056789,149.5113963,0,0,1,0.693147181,Bare,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,6
542923.5027,6171262.779,94.31624215,134.1242354,9.935546875,29.3409028,2.953124088,1.374506175,2-years-old,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,7
542944.6716,6171241.611,92.34304373,122.7457171,0,0,1,0.693147181,2-years-old,0,0,0,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,6
542965.1572,6171219.418,92.35371465,119.2508756,0,0,1,0.693147181,Bare,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2
542819.0263,6171329.699,127.3901037,234.754668,6.368652344,30.40504112,4.77417191,1.753394854,2-years-old,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
542840.1947,6171307.847,126.1260791,211.9458454,0,0,1,0.693147181,2-years-old,0,0,0,1,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,1,8
542632.2656,6171525.336,185.6481864,181.7779961,56.84838867,148.4247746,2.610887979,1.28395372,1-year-old,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,2,2
542643.1912,6171514.41,176.3319947,180.1058098,26.14697266,162.0550982,6.197853201,1.973782815,1-year-old,0,0,0,0,0,0,0,1,1,18,0,0,0,0,0,0,0,0,0,0,0,6,1
542622.7051,6171515.094,196.440661,195.646576,42.99438477,244.2212887,5.680306628,1.899163889,1-year-old,0,0,0,0,0,0,0,1,0,14,0,0,0,0,0,0,0,0,0,0,0,3,0
542633.2899,6171504.168,188.033294,194.2393479,50.07080078,291.6995068,5.825740795,1.920700877,1-year-old,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,6,4
542611.0967,6171504.851,209.6281824,211.1114354,2.530029297,16.74061575,6.616767548,2.030352073,Bare,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,3,9
542686.5522,6171533.53,130.8264308,134.5106637,26.48657227,139.780661,5.277416027,1.836958435,1-year-old,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,8
542697.1367,6171522.264,121.8491,135.007319,41.05541992,227.2583094,5.535403361,1.877234068,1-year-old,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,1,2
542707.7207,6171512.021,113.968898,136.4195151,49.73535156,259.6118105,5.219864792,1.827748169,1-year-old,0,0,0,0,0,0,0,1,1,4,0,0,0,0,1,0,0,0,0,0,0,0,17
542780.7859,6171479.585,66.0348183,143.6661771,22.78613281,57.53662634,2.525072017,1.259900866,1-year-old,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4
542748.692,6171490.169,86.85196364,138.3297161,19.42358398,89.61589386,4.613767157,1.725222002,1-year-old,0,0,0,1,0,0,0,2,0,8,0,0,0,0,3,0,0,0,0,0,0,5,7
542759.276,6171479.243,83.83154654,146.5037844,5.937988281,40.99291577,6.903502301,2.06730599,1-year-old,0,0,0,1,0,0,0,1,0,5,0,0,0,0,2,0,0,0,0,0,0,6,7
542769.8602,6171469.001,81.21141381,155.0589305,27.69506836,60.86129214,2.197549807,1.162384831,1-year-old,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,10
542738.7907,6171480.268,100.5336669,150.7326384,47.36425781,249.1810625,5.260951486,1.834332168,1-year-old,0,0,0,0,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,2,3
542748.0094,6171468.659,99.02194638,159.2794847,41.84423828,250.2701638,5.980994615,1.943191402,1-year-old,0,0,0,0,0,0,0,2,0,10,0,0,0,0,2,0,0,0,0,0,0,0,5
542758.5936,6171457.393,97.33014845,168.1265649,43.39404297,174.7289616,4.026565622,1.614736972,1-year-old,0,0,0,0,0,0,0,0,1,18,0,0,0,0,1,0,0,0,0,0,0,7,8
542726.8408,6171469.342,116.4835639,165.0859843,23.5168457,120.0042629,5.102906421,1.80876512,1-year-old,0,0,2,0,0,0,0,2,0,10,0,0,0,0,1,0,0,0,0,0,0,4,4
542737.7666,6171458.758,113.0147383,171.5461216,44.69287109,255.0312246,5.706306585,1.903048365,1-year-old,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,3
542747.6678,6171447.832,111.8484267,179.6233566,49.6496582,250.0044354,5.035370724,1.797637282,1-year-old,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0
542706.3553,6171491.193,122.8191271,154.5639825,75.96728516,173.2852568,2.281051066,1.188163818,3-years-old,2,0,0,2,0,0,13,5,0,7,0,0,1,0,0,0,0,0,0,0,0,34,11
542716.5977,6171480.268,119.2214042,159.2084019,76.16845703,137.0540216,1.79935405,1.029388694,3-years-old,0,0,0,2,0,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,55,1
542675.2853,6171502.802,147.686502,164.1074337,105.1159668,205.2297673,1.952412878,1.082622761,3-years-old,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,6,0
542685.1866,6171492.218,141.7891206,165.7653154,66.96240234,182.5491705,2.726144286,1.315373996,3-years-old,0,0,1,0,0,0,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,10,0
542695.4292,6171480.95,137.1892761,169.046566,54.59155273,173.8869239,3.18523499,1.431562853,3-years-old,0,0,0,0,0,0,0,2,4,13,0,0,0,0,0,0,0,1,0,0,0,8,8
542706.3551,6171470.025,133.3698375,172.9840595,60.13842773,146.2715038,2.432246889,1.233215116,3-years-old,0,0,1,1,0,0,0,4,1,12,0,0,1,0,1,0,0,0,0,0,0,20,13
542664.3598,6171492.559,161.2098455,179.0501063,73.37670898,201.4259634,2.745093998,1.320446716,3-years-old,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,9,0
542674.2607,6171481.634,155.9648693,180.8396131,40.57617188,97.81392318,2.410624725,1.226895478,3-years-old,1,0,0,0,0,0,1,6,0,6,0,0,0,0,0,0,0,1,0,0,0,67,3
542653.4341,6171482.658,174.8486408,193.7502296,30.13671875,84.43836595,2.801843381,1.335486049,Bare,0,0,0,1,1,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,1,2
542590.9525,6171547.188,225.9607186,200.293321,105.7021484,278.3422268,2.633269341,1.290132888,3-years-old,0,0,0,1,0,0,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,43,4
542601.1952,6171536.262,215.8700668,199.1535685,66.6315918,224.8902103,3.375128888,1.475935979,3-years-old,0,0,0,1,0,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,47,4
542580.7096,6171537.286,236.3068911,214.4804338,127.677002,281.6959636,2.206317186,1.165122984,3-years-old,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,12,0
542590.9524,6171526.019,226.7193957,213.5538946,132.7937012,304.6716586,2.294323119,1.19220072,3-years-old,0,0,0,2,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,1
542780.1035,6171458.075,79.2732016,165.1867808,69.37207031,168.2619784,2.425500316,1.231247539,3-years-old,0,0,0,3,0,0,3,4,0,0,0,0,0,0,1,0,0,0,0,0,0,41,23
542768.8363,6171447.491,94.07865542,176.5561879,78.44580078,195.9106744,2.497401676,1.252020315,3-years-old,0,0,0,1,0,0,3,2,0,4,0,0,0,0,0,0,0,1,0,0,0,11,4
542790.6876,6171447.15,75.54454601,176.0134971,52.88452148,109.5141891,2.070817435,1.121943792,3-years-old,0,0,0,3,0,0,5,1,0,3,0,0,0,0,0,1,0,1,0,0,0,17,7
542779.4202,6171436.907,90.55198498,186.3651474,37.42138672,101.5074212,2.712551034,1.311719251,3-years-old,0,0,0,0,0,0,4,3,0,1,0,0,0,0,0,0,1,1,0,0,0,16,4
